,code,name,date,weight
145,000616,海航投资,2017-06-01,0.14
146,601231,环旭电子,2017-06-01,0.24
147,603377,东方时尚,2017-06-01,0.05
148,000656,金科股份,2017-06-01,0.68
149,300039,上海凯宝,2017-06-01,0.13
150,600270,外运发展,2017-06-01,0.17
151,300043,星辉娱乐,2017-06-01,0.1
152,002390,信邦制药,2017-06-01,0.23
153,603567,珍宝岛,2017-06-01,0.08
154,000528,柳 工,2017-06-01,0.17
155,600580,卧龙电气,2017-06-01,0.12
156,601929,吉视传媒,2017-06-01,0.2
157,002325,洪涛股份,2017-06-01,0.14
158,000667,美好置业,2017-06-01,0.23
159,600422,昆药集团,2017-06-01,0.16
160,600575,皖江物流,2017-06-01,0.18
161,300274,阳光电源,2017-06-01,0.19
162,600640,号百控股,2017-06-01,0.1
163,600175,美都能源,2017-06-01,0.17
164,000762,西藏矿业,2017-06-01,0.15
165,600687,刚泰控股,2017-06-01,0.21
166,600329,中新药业,2017-06-01,0.13
167,603698,航天工程,2017-06-01,0.08
168,600736,苏州高新,2017-06-01,0.13
169,600478,科力远,2017-06-01,0.24
170,600831,广电网络,2017-06-01,0.09
171,002013,中航机电,2017-06-01,0.28
172,002373,千方科技,2017-06-01,0.2
173,000919,金陵药业,2017-06-01,0.09
174,603188,亚邦股份,2017-06-01,0.16
175,600757,长江传媒,2017-06-01,0.12
176,002477,雏鹰农牧,2017-06-01,0.19
177,000501,鄂武商Ａ,2017-06-01,0.17
178,600635,大众公用,2017-06-01,0.28
179,000848,承德露露,2017-06-01,0.16
180,300001,特锐德,2017-06-01,0.17
181,600418,江淮汽车,2017-06-01,0.27
182,600537,亿晶光电,2017-06-01,0.12
183,600122,宏图高科,2017-06-01,0.29
184,600169,太原重工,2017-06-01,0.17
185,002176,江特电机,2017-06-01,0.24
186,601016,节能风电,2017-06-01,0.09
187,002581,未名医药,2017-06-01,0.16
188,000680,山推股份,2017-06-01,0.14
189,000816,智慧农业,2017-06-01,0.22
190,000897,津滨发展,2017-06-01,0.17
191,600351,亚宝药业,2017-06-01,0.11
192,600198,大唐电信,2017-06-01,0.21
193,002589,瑞康医药,2017-06-01,0.19
194,002440,闰土股份,2017-06-01,0.19
195,002025,航天电器,2017-06-01,0.18
196,002022,科华生物,2017-06-01,0.2
197,002311,海大集团,2017-06-01,0.36
198,600284,浦东建设,2017-06-01,0.16
199,600511,国药股份,2017-06-01,0.28
200,002544,杰赛科技,2017-06-01,0.19
201,002414,高德红外,2017-06-01,0.09
202,002646,青青稞酒,2017-06-01,0.08
203,000400,许继电气,2017-06-01,0.27
204,002106,莱宝高科,2017-06-01,0.15
205,000860,顺鑫农业,2017-06-01,0.2
206,000685,中山公用,2017-06-01,0.22
207,600864,哈投股份,2017-06-01,0.07
208,300291,华录百纳,2017-06-01,0.18
209,002635,安洁科技,2017-06-01,0.26
210,002489,浙江永强,2017-06-01,0.2
211,002190,成飞集成,2017-06-01,0.12
212,002491,通鼎互联,2017-06-01,0.26
213,000829,天音控股,2017-06-01,0.16
214,600291,西水股份,2017-06-01,0.16
215,600435,北方导航,2017-06-01,0.27
216,600266,北京城建,2017-06-01,0.38
217,000652,泰达股份,2017-06-01,0.15
218,002223,鱼跃医疗,2017-06-01,0.31
219,300199,翰宇药业,2017-06-01,0.19
220,603528,多伦科技,2017-06-01,0.07
221,600436,片仔癀,2017-06-01,0.46
222,000973,佛塑科技,2017-06-01,0.15
223,002011,盾安环境,2017-06-01,0.2
224,600058,五矿发展,2017-06-01,0.14
225,002698,博实股份,2017-06-01,0.08
226,002353,杰瑞股份,2017-06-01,0.21
227,600557,康缘药业,2017-06-01,0.18
228,002002,鸿达兴业,2017-06-01,0.19
229,000726,鲁 泰Ａ,2017-06-01,0.15
230,601908,京运通,2017-06-01,0.08
231,002273,水晶光电,2017-06-01,0.28
232,000513,丽珠集团,2017-06-01,0.24
233,600458,时代新材,2017-06-01,0.12
234,000877,天山股份,2017-06-01,0.17
235,600292,远达环保,2017-06-01,0.12
236,603568,伟明环保,2017-06-01,0.08
237,002745,木林森,2017-06-01,0.07
238,002285,世联行,2017-06-01,0.17
239,600425,*ST青松,2017-06-01,0.07
240,000099,中信海直,2017-06-01,0.13
241,002642,荣之联,2017-06-01,0.18
242,002503,搜于特,2017-06-01,0.17
243,600483,福能股份,2017-06-01,0.09
244,600017,日照港,2017-06-01,0.22
245,600200,江苏吴中,2017-06-01,0.17
246,002242,九阳股份,2017-06-01,0.16
247,600160,巨化股份,2017-06-01,0.26
248,600056,中国医药,2017-06-01,0.37
249,600628,新世界,2017-06-01,0.12
250,600596,新安股份,2017-06-01,0.11
251,603077,和邦生物,2017-06-01,0.16
252,600067,冠城大通,2017-06-01,0.18
253,600416,湘电股份,2017-06-01,0.19
254,300257,开山股份,2017-06-01,0.17
255,600098,广州发展,2017-06-01,0.16
256,002041,登海种业,2017-06-01,0.12
257,600894,广日股份,2017-06-01,0.14
258,600141,兴发集团,2017-06-01,0.12
259,600729,重庆百货,2017-06-01,0.17
260,600611,大众交通,2017-06-01,0.18
261,000543,皖能电力,2017-06-01,0.16
262,601777,力帆股份,2017-06-01,0.14
263,002064,华峰氨纶,2017-06-01,0.13
264,000878,云南铜业,2017-06-01,0.26
265,000049,德赛电池,2017-06-01,0.18
266,600874,创业环保,2017-06-01,0.22
267,000581,威孚高科,2017-06-01,0.35
268,600166,福田汽车,2017-06-01,0.36
269,603169,兰石重装,2017-06-01,0.11
270,600240,华业资本,2017-06-01,0.24
271,600863,内蒙华电,2017-06-01,0.24
272,600059,古越龙山,2017-06-01,0.12
273,600869,智慧能源,2017-06-01,0.12
274,600307,酒钢宏兴,2017-06-01,0.23
275,600600,青岛啤酒,2017-06-01,0.26
276,600765,中航重机,2017-06-01,0.16
277,002048,宁波华翔,2017-06-01,0.22
278,600120,浙江东方,2017-06-01,0.21
279,002498,汉缆股份,2017-06-01,0.13
280,002479,富春环保,2017-06-01,0.15
281,002269,美邦服饰,2017-06-01,0.13
282,000090,天健集团,2017-06-01,0.18
283,600348,阳泉煤业,2017-06-01,0.2
284,002018,华信国际,2017-06-01,0.16
285,600195,中牧股份,2017-06-01,0.11
286,600183,生益科技,2017-06-01,0.22
287,600720,祁连山,2017-06-01,0.13
288,600151,航天机电,2017-06-01,0.17
289,000777,中核科技,2017-06-01,0.17
290,002268,卫 士 通,2017-06-01,0.2
291,600643,爱建集团,2017-06-01,0.6
292,601010,文峰股份,2017-06-01,0.15
293,600108,亚盛集团,2017-06-01,0.18
294,002603,以岭药业,2017-06-01,0.22
295,000926,福星股份,2017-06-01,0.19
296,000062,深圳华强,2017-06-01,0.17
297,603555,贵人鸟,2017-06-01,0.07
298,600300,维维股份,2017-06-01,0.16
299,603355,莱克电气,2017-06-01,0.12
300,600811,东方集团,2017-06-01,0.25
301,601886,江河集团,2017-06-01,0.14
302,600862,中航高科,2017-06-01,0.11
303,600755,厦门国贸,2017-06-01,0.27
304,600993,马应龙,2017-06-01,0.17
305,600717,天津港,2017-06-01,0.28
306,601801,皖新传媒,2017-06-01,0.15
307,000598,兴蓉环境,2017-06-01,0.27
308,002345,潮宏基,2017-06-01,0.11
309,002392,北京利尔,2017-06-01,0.1
310,600851,海欣股份,2017-06-01,0.16
311,600180,瑞茂通,2017-06-01,0.1
312,002428,云南锗业,2017-06-01,0.12
313,600773,西藏城投,2017-06-01,0.12
314,002681,奋达科技,2017-06-01,0.12
315,600639,浦东金桥,2017-06-01,0.17
316,002400,省广股份,2017-06-01,0.25
317,000961,中南建设,2017-06-01,0.2
318,600805,悦达投资,2017-06-01,0.13
319,600597,光明乳业,2017-06-01,0.2
320,002573,清新环境,2017-06-01,0.32
321,002004,华邦健康,2017-06-01,0.31
322,603369,今世缘,2017-06-01,0.12
323,000970,中科三环,2017-06-01,0.29
324,002244,滨江集团,2017-06-01,0.17
325,000723,美锦能源,2017-06-01,0.07
326,600316,洪都航空,2017-06-01,0.17
327,601678,滨化股份,2017-06-01,0.15
328,600879,航天电子,2017-06-01,0.32
329,000690,宝新能源,2017-06-01,0.21
330,600053,九鼎投资,2017-06-01,0.12
331,600366,宁波韵升,2017-06-01,0.18
332,002699,美盛文化,2017-06-01,0.09
333,603868,飞科电器,2017-06-01,0.07
334,600978,宜华生活,2017-06-01,0.32
335,600312,平高电气,2017-06-01,0.26
336,002233,塔牌集团,2017-06-01,0.11
337,002092,中泰化学,2017-06-01,0.39
338,603589,口子窖,2017-06-01,0.3
339,600801,华新水泥,2017-06-01,0.11
340,601880,大连港,2017-06-01,0.24
341,600881,亚泰集团,2017-06-01,0.26
342,600790,轻纺城,2017-06-01,0.14
343,600759,洲际油气,2017-06-01,0.19
344,600748,上实发展,2017-06-01,0.11
345,600682,南京新百,2017-06-01,0.44
346,600664,哈药股份,2017-06-01,0.23
347,600645,中源协和,2017-06-01,0.18
348,600487,亨通光电,2017-06-01,0.58
349,600395,盘江股份,2017-06-01,0.12
350,600338,西藏珠峰,2017-06-01,0.12
351,600315,上海家化,2017-06-01,0.42
352,600289,亿阳信通,2017-06-01,0.14
353,600187,国中水务,2017-06-01,0.18
354,600161,天坛生物,2017-06-01,0.33
355,600138,中青旅,2017-06-01,0.31
356,600039,四川路桥,2017-06-01,0.2
357,600022,山东钢铁,2017-06-01,0.24
358,300159,新研股份,2017-06-01,0.3
359,300156,神雾环保,2017-06-01,0.5
360,300032,金龙机电,2017-06-01,0.12
361,300010,立思辰,2017-06-01,0.15
362,002727,一心堂,2017-06-01,0.12
363,002701,奥瑞金,2017-06-01,0.25
364,002665,首航节能,2017-06-01,0.25
365,002588,史丹利,2017-06-01,0.1
366,002344,海宁皮城,2017-06-01,0.12
367,002342,巨力索具,2017-06-01,0.22
368,002254,泰和新材,2017-06-01,0.15
369,002179,中航光电,2017-06-01,0.3
370,002168,深圳惠程,2017-06-01,0.39
371,002123,梦网集团,2017-06-01,0.14
372,002073,软控股份,2017-06-01,0.14
373,001696,宗申动力,2017-06-01,0.14
374,000979,中弘股份,2017-06-01,0.25
375,000969,安泰科技,2017-06-01,0.11
376,000939,凯迪生态,2017-06-01,0.21
377,000931,中 关 村,2017-06-01,0.11
378,000930,中粮生化,2017-06-01,0.26
379,000825,太钢不锈,2017-06-01,0.25
380,000806,银河生物,2017-06-01,0.21
381,000727,华东科技,2017-06-01,0.21
382,000669,金鸿控股,2017-06-01,0.15
383,000592,平潭发展,2017-06-01,0.16
384,000566,海南海药,2017-06-01,0.3
385,000563,陕国投Ａ,2017-06-01,0.16
386,000547,航天发展,2017-06-01,0.26
387,000517,荣安地产,2017-06-01,0.08
